id;nome
1;André Luiz Pereira
2;Beatriz Souza Lima
3;Carlos Henrique Martins
4;Daniela Castro Oliveira
5;Eduardo Santos Ferreira
6;Fernanda Lopes da Silva
7;Gabriel Almeida Costa
8;Helena Ribeiro Monteiro
9;Igor Mendes Rocha
10;Isabela Carvalho Duarte
11;João Pedro Nogueira
12;Juliana Moura Farias
13;Kauã Vitor Araújo
14;Larissa Mendes Santana
15;Lucas Gabriel Fontes
16;Luiza Barbosa Teixeira
17;Marcos Vinícius Duarte
18;Maria Clara Ramos
19;Matheus Oliveira Prado
20;Mirella Nunes de Assis
21;Nicolas Alves Pereira
22;Patrícia Souza Moreira
23;Pedro Henrique Martins
24;Rafaela Costa Meireles
25;Rafael Gonçalves Pinto
26;Renan Tavares de Lima
27;Sabrina Almeida Pires
28;Samuel Nogueira Silva
29;Tatiane Freitas Lopes
30;Victor Hugo Figueiredo
